geneid	chr	left	right
DEFB119	chr20	29964967	29978406
DEFB121	chr20	29992672	29994069
DEFB123	chr20	30028322	30038060
DEFB124	chr20	30053309	30060816
DEFB125	chr20	68351	77174
DEFB126	chr20	123010	126392
DEFB127	chr20	138111	139804
DEFB128	chr20	168494	170322
DEFB129	chr20	207899	210527
DEFB130	chr8	11921898	11929256
DEFB131	chr4	9446260	9452240
DEFB132	chr20	238377	241737
DEFB133	chr6	49913814	49917157
DEFB134	chr8	11850692	11853821
DEFB135	chr8	11839830	11842099
DEFB136	chr8	11831446	11832108
DEFB4A	chr8	7752151	7754233
DEFB4B	chr8	7272382	7274385
DEGS1	chr1	224363458	224380055
DEGS2	chr14	100612756	100626500
DEK	chr6	18224099	18265054
DENND1A	chr9	126141933	126692386
DENND1B	chr1	197521385	197744455
DENND1C	chr19	6467218	6481819
DENND2A	chr7	140218220	140340576
DENND2C	chr1	115125469	115212732
DENND2D	chr1	111729796	111747031
DENND3	chr8	142138720	142205895
DENND4A	chr15	65952954	66084462
DENND4B	chr1	153901977	153919172
DENND4C	chr9	19230433	19372856
DENND5A	chr11	9160372	9286937
DENND5B	chr12	31535157	31744031
DENND6A	chr3	57611184	57678816
DENND6B	chr22	50747459	50765489
DENR	chr12	123237321	123255611
DEPDC1	chr1	68939835	68962904
DEPDC1B	chr5	59892739	59995988
DEPDC4	chr12	100646041	100660857
DEPDC5	chr22	32150069	32303000
DEPDC7	chr11	33037410	33055128
DEPTOR	chr8	120885957	121063152
DERA	chr12	16064106	16190220
DERL1	chr8	124025404	124054663
DERL2	chr17	5374571	5389537
DERL3	chr22	24176690	24181193
DES	chr2	220283099	220291461
DESI1	chr22	41994032	42017100
DESI2	chr1	244816237	244872335
DET1	chr15	89055714	89089906
DEXI	chr16	11022748	11036317
DFFA	chr1	10516579	10532583
DFFB	chr1	3773845	3801993
DFNA5	chr7	24737977	24809244
DFNB31	chr9	117164361	117267250
DFNB59	chr2	179316163	179326117
DGAT1	chr8	145539954	145550573
DGAT2	chr11	75470557	75508321
DGAT2L6	chrX	69397333	69425395
DGCR14	chr22	19117792	19132197
DGCR2	chr22	19023795	19109967
DGCR6	chr22	18893541	18899601
DGCR6L	chr22	20301799	20307603
DGCR8	chr22	20067755	20099398
DGKA	chr12	56324756	56347799
DGKB	chr7	14184674	14942986
DGKD	chr2	234263153	234380746
DGKE	chr17	54911460	54946036
DGKG	chr3	185864990	186080026
DGKH	chr13	42622889	42817032
DGKI	chr7	137065783	137531282
DGKQ	chr4	962079	980683
DGKZ	chr11	46354455	46402104
DGUOK	chr2	74153953	74186088
DHCR24	chr1	55315306	55352891
DHCR7	chr11	71145460	71159481
DHDDS	chr1	26758846	26797785
DHDH	chr19	49436939	49448226
DHFR	chr5	79922047	79950802
DHFRL1	chr3	93776768	93782067
DHH	chr12	49483204	49488602
DHODH	chr16	72042487	72058948
DHPS	chr19	12786535	12792716
DHRS1	chr14	24759804	24769039
DHRS11	chr17	34948228	34957235
DHRS12	chr13	52342131	52378293
DHRS13	chr17	27224799	27230089
DHRS2	chr14	24099324	24113752
DHRS3	chr1	12627939	12677737
DHRS4	chr14	24422795	24438483
DHRS4-AS1	chr14	24407940	24409196
DHRS4L2	chr14	24439148	24475610
DHRS7	chr14	60610838	60636574
DHRS7B	chr17	21029965	21095343
DHRS7C	chr17	9674751	9694614
DHRS9	chr2	169921299	169952677
DHRSX	chrX	2137557	2419019
DHTKD1	chr10	12110971	12165224
DHX15	chr4	24529098	24586173
DHX16	chr6	30620896	30640814
DHX29	chr5	54552073	54603550
DHX30	chr3	47844399	47891685
DHX32	chr10	127524909	127569884
DHX33	chr17	5344232	5372380
DHX34	chr19	47852538	47885961
DHX35	chr20	37590942	37668364
DHX36	chr3	153990335	154042286
DHX37	chr12	125431373	125473667
DHX38	chr16	72127461	72146811
DHX40	chr17	57642886	57685706
DHX57	chr2	39024871	39103049
DHX58	chr17	40253422	40264751
DHX8	chr17	41561331	41604154
DHX9	chr1	182808504	182856886
DIABLO	chr12	122692216	122712081
DIAPH1	chr5	140894583	140998622
DIAPH2	chrX	95939711	96859996
DIAPH3	chr13	60239717	60738121
DICER1	chr14	95552565	95624347
DIDO1	chr20	61509090	61569274
DIEXF	chr1	210001352	210030910
DIMT1	chr5	61683081	61699760
DIO1	chr1	54359860	54376759
DIO2	chr14	80677652	80854100
DIO3	chr14	102027688	102029789
DIP2A	chr21	47878862	47989926
DIP2B	chr12	50898890	51142450
DIP2C	chr10	320130	735606
DIRAS1	chr19	2714565	2721416
DIRAS2	chr9	93372114	93405386
DIRAS3	chr1	68511645	68517314
DIRC1	chr2	189598882	189654831
DIRC2	chr3	122513642	122599986
DIRC3	chr2	218568623	218621278
DIS3	chr13	73329540	73356071
DIS3L	chr15	66585555	66626236
DIS3L2	chr2	232825955	233209060
DISC1	chr1	231762561	232177018
DISP1	chr1	223045613	223153204
DISP2	chr15	40650436	40663257
DIXDC1	chr11	111807927	111893305
DKC1	chrX	153991031	154005964
DKFZP434A062	chr9	139219089	139219640
DKFZP434E1119	chr11	77184416	77188074
DKFZP434H0512	chr9	98534605	98537013
DKFZP434O1614	chr14	96741383	96743060
DKFZP547L112	chr15	22011370	22012050
DKFZP667F0711	chr10	6392278	6394723
DKFZP761J1410	chr19	11466062	11476374
DKFZP779J2370	chr15	100255908	100258029
DKFZP779L1853	chr12	48592170	48595814
DKK1	chr10	54074056	54077417
DKK2	chr4	107844900	108204846
DKK3	chr11	11984653	12030917
DKK4	chr8	42231586	42234750
DKKL1	chr19	49865040	49878373
DLAT	chr11	111895538	111935114
DLC1	chr8	12940870	13372395
DLD	chr7	107531415	107561648
DLEC1	chr3	38080696	38165040
DLEU1	chr13	50656307	50679433
DLEU2L	chr1	64014588	64015405
DLEU7	chr13	51286037	51418075
DLG1	chr3	196769431	197025447
DLG2	chr11	83168962	85338314
DLG3	chrX	69664711	69725337
DLG4	chr17	7093209	7123021
DLG5	chr10	79550551	79686378
DLGAP1	chr18	3496030	4455335
DLGAP2	chr8	1449532	1656642
DLGAP3	chr1	35331037	35395186
DLGAP4	chr20	34894258	35157040
DLGAP5	chr14	55614854	55658396
DLK1	chr14	101193164	101201539
DLK2	chr6	43418092	43424370
DLL1	chr6	170591294	170599561
DLL3	chr19	39989535	39999108
DLL4	chr15	41221591	41231237
DLST	chr14	75348596	75370448
DLX1	chr2	172949954	172954405
DLX2	chr2	172964167	172967628
DLX3	chr17	48067369	48072588
DLX4	chr17	48046538	48052321
DLX5	chr7	96649704	96654409
DLX6	chr7	96634860	96640351
DMAP1	chr1	44679127	44686353
DMBT1	chr10	124320181	124403252
DMBX1	chr1	46972669	46979898
DMC1	chr22	38914954	38966291
DMD	chrX	31137345	33229636
DMGDH	chr5	78293438	78365472
DMKN	chr19	35988122	36004554
DMP1	chr4	88571459	88585513
DMPK	chr19	46272975	46285736
DMRT1	chr9	841690	969090
DMRT2	chr9	1050354	1057550
DMRT3	chr9	976964	991731
DMRTA1	chr9	22446840	22455739
DMRTA2	chr1	50883222	50889172
DMRTB1	chr1	53925072	53933161
DMRTC1	chrX	72091863	72097698
DMRTC1B	chrX	71996972	72068632
DMRTC2	chr19	42349118	42356401
DMTF1	chr7	86781677	86825648
DMTN	chr8	21911081	21940035
DMWD	chr19	46286205	46296060
DMXL1	chr5	118407185	118584822
DMXL2	chr15	51739908	51915030
DNA2	chr10	70173821	70231879
DNAAF1	chr16	84178922	84211524
DNAAF2	chr14	50091892	50101948
DNAAF3	chr19	55670031	55678019
DNAH1	chr3	52350335	52434507
DNAH10	chr12	124247042	124420753
DNAH10OS	chr12	124410971	124419531
DNAH11	chr7	21582833	21941457
DNAH12	chr3	57327727	57530071
DNAH14	chr1	225083964	225586971
DNAH17	chr17	76419778	76573476
DNAH17-AS1	chr17	76494911	76499138
DNAH2	chr17	7620672	7737062
DNAH3	chr16	20944433	21170762
DNAH5	chr5	13690440	13944652
DNAH6	chr2	84743579	85046713
DNAH7	chr2	196602427	196933536
DNAH8	chr6	38690622	38998295
DNAH9	chr17	11501748	11873065
DNAI1	chr9	34458833	34520982
DNAI2	chr17	72270386	72311023
DNAJA1	chr9	33025209	33039905
DNAJA2	chr16	46989299	47007699
DNAJA3	chr16	4475806	4506776
DNAJA4	chr15	78556428	78574538
DNAJB1	chr19	14626461	14640120
DNAJB11	chr3	186285192	186303589
DNAJB12	chr10	74092589	74114988
DNAJB13	chr11	73661364	73681332
DNAJB14	chr4	100817405	100867883
DNAJB2	chr2	220143989	220151622
DNAJB4	chr1	78445868	78479039
DNAJB5	chr9	34989638	34998428
DNAJB6	chr7	157129660	157210133
DNAJB7	chr22	41255553	41258130
DNAJB8	chr3	128181285	128186091
DNAJB9	chr7	108210012	108215294
DNAJC1	chr10	22045466	22292654
DNAJC10	chr2	183580999	183659191
DNAJC11	chr1	6694228	6761984
DNAJC12	chr10	69556427	69597922
DNAJC13	chr3	132136370	132257876
DNAJC14	chr12	56214744	56224565
DNAJC15	chr13	43597339	43683045
DNAJC16	chr1	15853308	15902587
DNAJC17	chr15	41060067	41099675
DNAJC18	chr5	138745892	138775215
DNAJC19	chr3	180701497	180707561
DNAJC2	chr7	102952966	102985320
DNAJC21	chr5	34929698	34959069
DNAJC22	chr12	49740700	49745958
DNAJC24	chr11	31391387	31453396
DNAJC25	chr9	114393666	114432508
DNAJC25-GNG10	chr9	114393666	114432509
DNAJC27	chr2	25166505	25194963
DNAJC28	chr21	34860497	34864027
DNAJC3	chr13	96329393	96447243
DNAJC30	chr7	73095299	73097783
DNAJC4	chr11	63997750	64001753
DNAJC5	chr20	62526535	62567384
DNAJC5B	chr8	66933795	67012751
DNAJC5G	chr2	27498343	27504367
DNAJC6	chr1	65730437	65881552
DNAJC7	chr17	40128451	40169671
DNAJC8	chr1	28527068	28559536
DNAJC9	chr10	75002582	75008620
DNAL1	chr14	74111702	74170435
DNAL4	chr22	39174513	39190178
DNALI1	chr1	38022520	38032458
DNASE1	chr16	3707273	3730144
DNASE1L1	chrX	153629579	153640427
DNASE1L2	chr16	2285817	2288712
DNASE1L3	chr3	58178354	58200424
DNASE2	chr19	12986025	12992282
DNASE2B	chr1	84864215	84880701
DND1	chr5	140050379	140053171
DNER	chr2	230222345	230579274
DNHD1	chr11	6518526	6593252
DNLZ	chr9	139253932	139258171
DNM1	chr9	130965658	131017527
DNM1L	chr12	32832134	32898486
DNM2	chr19	10828755	10942579
DNM3	chr1	171810621	172381856
DNMBP	chr10	101635334	101769676
DNMT1	chr19	10244022	10305811
DNMT3A	chr2	25455845	25565459
DNMT3B	chr20	31350191	31397162
DNMT3L	chr21	45666222	45682099
DNPEP	chr2	220238916	220264729
DNPH1	chr6	43193367	43197222
DNTT	chr10	98064085	98098300
DNTTIP1	chr20	44420576	44440066
DNTTIP2	chr1	94333373	94344762
DOC2A	chr16	30020547	30032616
DOC2B	chr17	5810	31427
DOCK1	chr10	128593978	129250781
DOCK10	chr2	225629807	225907159
DOCK11	chrX	117629861	117820126
DOCK2	chr5	169064251	169510386
DOCK3	chr3	50712672	51421629
DOCK4	chr7	111366534	111846466
DOCK5	chr8	25042380	25273232
DOCK6	chr19	11309971	11373128
DOCK7	chr1	62920399	63153969
DOCK8	chr9	214865	465259
DOCK9	chr13	99446880	99738660
DOHH	chr19	3490820	3500938
DOK1	chr2	74776153	74784663
DOK2	chr8	21766384	21771371
DOK3	chr5	176928908	176937386
DOK4	chr16	57505870	57520407
DOK5	chr20	53092136	53267710
DOK6	chr18	67068291	67516323
DOK7	chr4	3465033	3502552
DOLK	chr9	131707809	131709898
DOLPP1	chr9	131843379	131852714
DONSON	chr21	34947783	34960976
DOPEY1	chr6	83777385	83878438
DOPEY2	chr21	37536833	37666572
DOT1L	chr19	2164148	2232577
DPAGT1	chr11	118967213	118979041
DPCD	chr10	103348045	103369425
DPCR1	chr6	30908749	30921998
DPEP1	chr16	89679716	89704838
DPEP2	chr16	68021300	68034489
DPEP3	chr16	68009566	68014732
DPF1	chr19	38701683	38720354
DPF2	chr11	65101225	65120720
DPF3	chr14	73086004	73360796
DPH1	chr17	1933404	1946724
DPH2	chr1	44435676	44439041
DPH3	chr3	16299485	16306479
DPH5	chr1	101455619	101491328
DPH6	chr15	35663083	35838369
DPH7	chr9	140449361	140473387
DPM1	chr20	49551404	49575092
DPM2	chr9	130697378	130700763
DPM3	chr1	155112367	155113071
DPP10	chr2	115199876	116603328
DPP3	chr11	66247484	66277128
DPP4	chr2	162848751	162931052
DPP6	chr7	153584182	154685995
DPP7	chr9	140004994	140009170
DPP8	chr15	65734801	65809611
DPP9	chr19	4675238	4723875
DPPA2	chr3	109012635	109035364
DPPA3	chr12	7864050	7870155
DPPA4	chr3	109044988	109056419
DPPA5	chr6	74062785	74064018
DPRX	chr19	54135310	54140263
DPT	chr1	168664697	168698502
DPY19L1	chr7	34968488	35077653
DPY19L2	chr12	63952693	64062357
DPY19L3	chr19	32896655	32976795
DPY19L4	chr8	95732128	95806064
DPY30	chr2	32248961	32264881
DPYD	chr1	97543299	98386579
DPYS	chr8	105391652	105479281
DPYSL2	chr8	26371791	26515689
DPYSL3	chr5	146770375	146889619
DPYSL4	chr10	134000404	134019280
DPYSL5	chr2	27070969	27173219
DQX1	chr2	74745258	74753463
DR1	chr1	93811445	93835055
DRAM1	chr12	102302092	102405908
DRAM2	chr1	111659957	111682838
DRAP1	chr11	65686728	65689032
DRAXIN	chr1	11751786	11785914
DRC1	chr2	26624784	26679579
DRD1	chr5	174867042	174871211
DRD2	chr11	113280337	113346111
DRD3	chr3	113847499	113918254
DRD4	chr11	637293	640706
DRD5	chr4	9783258	9785632
DRG1	chr22	31795509	31830438
DRG2	chr17	17991200	18011285
DRGX	chr10	50572237	50603497
DROSHA	chr5	31400604	31532168
DRP2	chrX	100474758	100519486
DSC1	chr18	28709199	28742819
DSC2	chr18	28646007	28682378
DSC3	chr18	28569974	28622707
DSCAM	chr21	41382926	42219065
DSCAML1	chr11	117298489	117667976
DSCC1	chr8	120846216	120868250
DSCR3	chr21	38595728	38640262
DSCR4	chr21	39323728	39493433
DSCR8	chr21	39493567	39528605
DSE	chr6	116575336	116747752
DSEL	chr18	65173819	65184217
DSG1	chr18	28898052	28936992
DSG2	chr18	29078006	29128971
DSG3	chr18	29027758	29058665
DSG4	chr18	28956846	28994875
DSN1	chr20	35380198	35402221
DSP	chr6	7541808	7586950
DSPP	chr4	88529681	88538025
DST	chr6	56322787	56819385
DSTN	chr20	17550508	17590564
DSTYK	chr1	205111632	205180727
DTD1	chr20	18568537	18744561
DTD2	chr14	31915242	31926716
DTHD1	chr4	36283244	36346407
DTL	chr1	212208919	212278348
DTNA	chr18	32073254	32471808
DTNB	chr2	25600112	25896503
DTNBP1	chr6	15523032	15663273
DTWD1	chr15	49913296	49937333
DTWD2	chr5	118173017	118323915
DTX1	chr12	113495495	113535833
DTX2	chr7	76091018	76135308
DTX3	chr12	57998405	58003583
DTX3L	chr3	122283085	122294050
DTX4	chr11	58939965	58976060
DTYMK	chr2	242615157	242626406
DUOX1	chr15	45422131	45457774
DUOX2	chr15	45384848	45406542
DUOXA1	chr15	45409572	45422075
DUOXA2	chr15	45406519	45410619
DUPD1	chr10	76797594	76818272
DUS1L	chr17	80015382	80023515
DUS2	chr16	68021675	68094971
DUS3L	chr19	5785151	5791249
DUS4L	chr7	107204403	107218906
DUSP1	chr5	172195093	172198198
DUSP10	chr1	221874766	221915518
DUSP11	chr2	73989311	74007284
DUSP12	chr1	161719560	161726952
DUSP13	chr10	76854192	76868979
DUSP14	chr17	35849937	35873603
DUSP15	chr20	30435440	30458467
DUSP16	chr12	12628829	12715317
DUSP18	chr22	31048038	31063847
DUSP19	chr2	183943487	183964733
DUSP2	chr2	96808905	96811179
DUSP21	chrX	44703249	44704130
DUSP22	chr6	292097	351355
DUSP23	chr1	159750722	159752333
DUSP26	chr8	33448856	33457624
DUSP27	chr1	167063282	167098366
DUSP28	chr2	241499471	241503431
DUSP3	chr17	41843489	41856356
DUSP4	chr8	29190581	29208185
DUSP5	chr10	112257596	112271302
DUSP6	chr12	89741009	89747048
DUSP7	chr3	52082935	52090566
DUSP8	chr11	1575274	1593150
DUSP9	chrX	152907988	152916781
DUT	chr15	48623620	48635570
DUX4	chr4	191005267	191006883
DUX4L2	chr4	191011860	191013476
DUX4L3	chr4	191008560	191010176
DUX4L4	chr4	191001979	191003583
DUX4L5	chr4	190998673	191000289
DUX4L6	chr4	190995380	190996996
DUX4L7	chr4	190992087	190993703
DUXA	chr19	57665389	57678811
DVL1	chr1	1270656	1284730
DVL2	chr17	7128660	7137864
DVL3	chr3	183873176	183891398
DXO	chr6	31937587	31940069
DYDC1	chr10	82095861	82116500
DYDC2	chr10	82104501	82127829
DYM	chr18	46570039	46987035
DYNAP	chr18	52254988	52265910
DYNC1H1	chr14	102430865	102517128
DYNC1I1	chr7	95401906	95739634
DYNC1I2	chr2	172543919	172604921
DYNC1LI1	chr3	32567463	32612366
DYNC1LI2	chr16	66754796	66785701
DYNC2H1	chr11	102980160	103350591
DYNC2LI1	chr2	44001178	44037149
DYNLL1	chr12	120907653	120936296
DYNLL2	chr17	56160776	56172897
DYNLRB1	chr20	33104214	33128762
DYNLRB2	chr16	80574631	80584538
DYNLT1	chr6	159057506	159065771
DYNLT3	chrX	37696010	37706767
DYRK1A	chr21	38739879	38887680
DYRK1B	chr19	40315990	40324841
DYRK2	chr12	68042501	68059186
DYRK3	chr1	206808881	206822538
DYRK4	chr12	4671370	4721853
DYSF	chr2	71680852	71913898
DYTN	chr2	207516345	207583120
DYX1C1	chr15	55709958	55800432
DZANK1	chr20	18364013	18447829
DZIP1	chr13	96230457	96295517
DZIP1L	chr3	137780832	137834451
DZIP3	chr3	108308529	108413693
E2F1	chr20	32263489	32274210
E2F2	chr1	23832922	23857712
E2F3	chr6	20402398	20493941
E2F4	chr16	67226072	67232821
E2F5	chr8	86089460	86126753
E2F6	chr2	11584501	11606275
E2F7	chr12	77415027	77459360
E2F8	chr11	19245610	19263167
E4F1	chr16	2273567	2285743
EAF1	chr3	15468862	15484120
EAF2	chr3	121554062	121605373
EAPP	chr14	34985135	35008916
EARS2	chr16	23533335	23568696
EBAG9	chr8	110552406	110578225
EBF1	chr5	158122928	158526769
EBF2	chr8	25699246	25902913
EBF3	chr10	131633547	131762105
EBF4	chr20	2673524	2740753
EBI3	chr19	4229495	4237528
EBLN1	chr10	22497743	22498950
EBLN2	chr3	73110810	73112488
EBNA1BP2	chr1	43629846	43638241
EBP	chrX	48379546	48387104
EBPL	chr13	50234862	50265611
ECD	chr10	74893414	74927817
ECE1	chr1	21543740	21671997
ECE2	chr3	183967483	184010819
ECEL1	chr2	233344537	233352538
ECH1	chr19	39306062	39322645
ECHDC1	chr6	127609855	127664754
ECHDC2	chr1	53362075	53392851
ECHDC3	chr10	11784365	11806069
ECHS1	chr10	135175984	135187193
ECI1	chr16	2289941	2302301
ECI2	chr6	4115923	4135831
ECM1	chr1	150480561	150486265
ECM2	chr9	95256365	95298254
ECSCR	chr5	138837130	138842328
ECSIT	chr19	11616731	11639989
ECT2	chr3	172468472	172539264
ECT2L	chr6	139117063	139225207
EDA	chrX	68835911	69259319
EDA2R	chrX	65815479	65858883
EDAR	chr2	109510927	109605828
EDARADD	chr1	236511562	236645619
EDC3	chr15	74922899	74988384
EDC4	chr16	67906926	67918406
EDDM3A	chr14	21214051	21216539
EDDM3B	chr14	21236586	21239107
EDEM1	chr3	5229358	5261642
EDEM2	chr20	33705828	33865928
EDEM3	chr1	184659365	184724047
EDF1	chr9	139756571	139760738
EDIL3	chr5	83236373	83680611
EDN1	chr6	12290596	12297427
EDN2	chr1	41944446	41950342
EDN3	chr20	57875482	57901047
EDNRA	chr4	148402069	148466106
EDNRB	chr13	78469616	78493903
EEA1	chr12	93164413	93323107
EED	chr11	85955586	85989778
EEF1A1	chr6	74225473	74230741
EEF1A2	chr20	62119366	62130505
EEF1B2	chr2	207024309	207027652
EEF1D	chr8	144663249	144681711
EEF1E1	chr6	8073593	8102781
EEF1G	chr11	62327075	62342401
EEF2	chr19	3976054	3985467
EEF2K	chr16	22217603	22297954
EEFSEC	chr3	127872297	128127485
EEPD1	chr7	36192758	36341152
EFCAB1	chr8	49627474	49647870
EFCAB10	chr7	105205575	105221947
EFCAB11	chr14	90261013	90421033
EFCAB12	chr3	129120164	129147494
EFCAB13	chr17	45401347	45518678
EFCAB14	chr1	47124366	47184824
EFCAB2	chr1	245133284	245290466
EFCAB3	chr17	60447579	60493837
EFCAB4A	chr11	827578	831986
EFCAB4B	chr12	3724494	3862268
EFCAB5	chr17	28268623	28435470
EFCAB6	chr22	43924624	44208157
EFCAB7	chr1	63989061	64038364
EFCAB8	chr20	31446729	31494679
EFCAB9	chr5	171621176	171630456
EFCC1	chr3	128720472	128759585
EFEMP1	chr2	56093102	56151274
EFEMP2	chr11	65633918	65640377
EFHB	chr3	19920968	19988501
EFHC1	chr6	52285165	52387892
EFHC2	chrX	44007911	44202918
EFHD1	chr2	233470767	233547050
EFHD2	chr1	15736391	15756839
EFNA1	chr1	155099936	155107333
EFNA2	chr19	1286153	1301430
EFNA3	chr1	155036224	155059283
EFNA4	chr1	155036207	155042029
EFNA5	chr5	106712590	107006596
EFNB1	chrX	68048840	68061990
EFNB2	chr13	107142079	107187462
EFNB3	chr17	7608520	7614696
EFR3A	chr8	132916335	133025889
EFR3B	chr2	25264999	25378243
EFS	chr14	23825611	23834842
EFTUD1	chr15	82422571	82555104
EFTUD2	chr17	42927311	42977030
EGF	chr4	110834047	110933422
EGFL6	chrX	13587724	13651693
EGFL7	chr9	139553308	139567130
EGFL8	chr6	32132360	32136058
EGFLAM	chr5	38258511	38465123
EGFR	chr7	55086811	55324313
EGLN1	chr1	231499497	231560790
EGLN2	chr19	41305092	41314337
EGLN3	chr14	34398305	34692083
EGR1	chr5	137801179	137805004
EGR2	chr10	64571763	64578927
EGR3	chr8	22545172	22550815
EGR4	chr2	73518062	73520833
EHBP1	chr2	62900986	63272732
EHBP1L1	chr11	65343509	65360121
EHD1	chr11	64619114	64646191
EHD2	chr19	48216600	48246391
EHD3	chr2	31457203	31492313
EHD4	chr15	42190950	42264776
EHF	chr11	34642658	34682604
EHHADH	chr3	184908412	184971886
EHMT1	chr9	140513454	140730576
EHMT2	chr6	31847536	31865461
EI24	chr11	125439298	125454574
EID1	chr15	49170083	49172380
EID2	chr19	40028890	40030870
EID2B	chr19	40021630	40023494
EID3	chr12	104697517	104698980
EIF1	chr17	39845145	39848920
EIF1AD	chr11	65764016	65769628
EIF1AX	chrX	20142636	20159962
EIF1AY	chrY	22737611	22755040
EIF1B	chr3	40351175	40353915
EIF2A	chr3	150264481	150302029
EIF2AK1	chr7	6061881	6098861
EIF2AK2	chr2	37326353	37384190
EIF2AK3	chr2	88856261	88927094
EIF2AK4	chr15	40226347	40327797
EIF2B1	chr12	124104953	124118313
EIF2B2	chr14	75469614	75476292
EIF2B3	chr1	45316450	45452282
EIF2B4	chr2	27587219	27593353
EIF2B5	chr3	183853164	184402546
EIF2D	chr1	206764977	206785904
EIF2S1	chr14	67826714	67853233
EIF2S2	chr20	32676104	32700138
EIF2S3	chrX	24072833	24096088
EIF2S3L	chr12	10658201	10675734
EIF3A	chr10	120794356	120840316
EIF3B	chr7	2394501	2420378
EIF3C	chr16	28699879	28746919
EIF3CL	chr16	28390902	28415200
EIF3D	chr22	36906897	36925483
EIF3E	chr8	109213972	109260994
EIF3F	chr11	7991798	8023409
EIF3G	chr19	10225693	10230578
EIF3H	chr8	117657072	117778494
EIF3I	chr1	32687971	32697205
EIF3J	chr15	44829255	44855001
EIF3K	chr19	39109737	39127595
EIF3L	chr22	38244875	38285414
EIF3M	chr11	32605371	32627808
EIF4A1	chr17	7476144	7482323
EIF4A2	chr3	186501336	186507689
EIF4A3	chr17	78109013	78120982
EIF4B	chr12	53399942	53435993
EIF4E	chr4	99792835	99851788
EIF4E1B	chr5	176057683	176073642
EIF4E2	chr2	233415393	233448354
EIF4E3	chr3	71728442	71803532
EIF4EBP1	chr8	37887859	37917883
EIF4EBP2	chr10	72164135	72188374
EIF4EBP3	chr5	139927251	139929163
EIF4ENIF1	chr22	31835349	31885810
EIF4G1	chr3	184032283	184053141
EIF4G2	chr11	10818601	10830657
EIF4G3	chr1	21132976	21503343
EIF4H	chr7	73588575	73611431
EIF5	chr14	103800339	103811362
EIF5A	chr17	7210318	7215774
EIF5A2	chr3	170606204	170626482
EIF5AL1	chr10	81272357	81276188
EIF5B	chr2	99953816	100017789
EIF6	chr20	33866714	33872788
ELAC1	chr18	48494386	48514491
ELAC2	chr17	12895708	12921504
ELANE	chr19	851014	856242
ELAVL1	chr19	8023463	8070492
ELAVL2	chr9	23690105	23826063
ELAVL3	chr19	11562141	11591848
ELAVL4	chr1	50513686	50667540
ELF1	chr13	41506170	41593450
ELF2	chr4	139978374	140098372
ELF3	chr1	201977073	201985137
ELF4	chrX	129198849	129244691
ELF5	chr11	34500340	34535347
ELFN1	chr7	1727755	1787590
ELFN2	chr22	37764000	37823505
ELK1	chrX	47494920	47509887
ELK3	chr12	96588160	96663613
ELK4	chr1	205577071	205601090
ELL	chr19	18553473	18632937
ELL2	chr5	95220802	95297775
ELL3	chr15	44064798	44069741
ELMO1	chr7	36893966	37488852
ELMO2	chr20	44995800	45061704
ELMO3	chr16	67233014	67237932
ELMOD1	chr11	107461956	107537505
ELMOD2	chr4	141445312	141474924
ELMOD3	chr2	85581843	85618873
ELMSAN1	chr14	74181825	74253961
ELN	chr7	73442119	73484237
ELOF1	chr19	11661962	11670045
ELOVL1	chr1	43829068	43833689
ELOVL2	chr6	10980992	11044547
ELOVL3	chr10	103986085	103989346
ELOVL4	chr6	80624529	80657297
ELOVL5	chr6	53132196	53213947
ELOVL6	chr4	110967002	111119809
ELOVL7	chr5	60047618	60140216
ELP2	chr18	33709834	33757909
ELP3	chr8	27947748	28048673
ELP4	chr11	31531297	31805546
ELP5	chr17	7155372	7163250
ELP6	chr3	47537130	47555251
ELSPBP1	chr19	48497908	48528403
ELTD1	chr1	79355449	79472403
EMB	chr5	49692026	49737201
EMC1	chr1	19542158	19578046
EMC10	chr19	50979756	50986608
EMC2	chr8	109455853	109499141
EMC3	chr3	10018713	10052800
EMC4	chr15	34517200	34522357
EMC6	chr17	3572109	3572959
EMC7	chr15	34376218	34394149
EMC8	chr16	85812230	85833214
EMC9	chr14	24608174	24610797
EMCN	chr4	101316498	101439250
EMD	chrX	153607557	153609883
EME1	chr17	48450581	48458844
EME2	chr16	1823208	1826312
EMG1	chr12	7079944	7085165
EMID1	chr22	29601840	29655586
EMILIN1	chr2	27301435	27309271
EMILIN2	chr18	2847028	2915991
EMILIN3	chr20	39988606	39995467
EML1	chr14	100204030	100375753
EML2	chr19	46112896	46148887
EML3	chr11	62369690	62380237
EML4	chr2	42396490	42559688
EML5	chr14	89078775	89259096
EML6	chr2	54951679	55199154
EMP1	chr12	13349650	13369708
EMP2	chr16	10622279	10674555
EMP3	chr19	48824766	48832696
EMR1	chr19	6887577	6940470
EMR2	chr19	14843205	14889353
EMR3	chr19	14730048	14800839
EMX1	chr2	73144604	73162020
EMX2	chr10	119301955	119309056
EN1	chr2	119599747	119605254
EN2	chr7	155250824	155257526
ENAH	chr1	225674537	225840844
ENAM	chr4	71494461	71512541
ENC1	chr5	73923234	73937249
ENDOD1	chr11	94822974	94865809
ENDOG	chr9	131580753	131584956
ENDOU	chr12	48103517	48119350
ENDOV	chr17	78388967	78411881
ENG	chr9	130577291	130617035
ENGASE	chr17	77071027	77082778
ENHO	chr9	34521038	34523039
ENKD1	chr16	67696848	67700667
ENKUR	chr10	25270908	25305085
ENO1	chr1	8921061	8938749
