geneid	chr	left	right	source
APC2	chr19	1401148	1424243	protein_coding
APCDD1	chr18	10444625	10478692	protein_coding
APCDD1L	chr20	56467832	56523355	protein_coding
APCS	chr1	157824240	157825284	protein_coding
APEH	chr3	49686439	49695935	protein_coding
APEX1	chr14	19993130	19995765	protein_coding
APH1A	chr1	148502512	148508156	protein_coding
APH1B	chr15	61356860	61385807	protein_coding
API5	chr11	43290109	43322655	protein_coding
APIP	chr11	34860492	34894472	protein_coding
APLNR	chr11	56757643	56761302	protein_coding
APLP1	chr19	41051241	41062539	protein_coding
APLP2	chr11	129445011	129519910	protein_coding
APOA1	chr11	116211679	116213571	protein_coding
APOA1BP	chr1	154828182	154830715	protein_coding
APOA2	chr1	159458707	159460042	protein_coding
APOA4	chr11	116196628	116199221	protein_coding
APOA5	chr11	116165299	116167794	protein_coding
APOB	chr2	21077806	21120450	protein_coding
APOBEC1	chr12	7693264	7709769	protein_coding
APOBEC2	chr6	41128991	41140233	protein_coding
APOBEC3A	chr22	37678702	37689134	protein_coding
APOBEC3B	chr22	37708350	37718755	protein_coding
APOBEC3C	chr22	37740208	37744767	protein_coding
APOBEC3D	chr22	37747276	37759190	protein_coding
APOBEC3F	chr22	37766619	37781919	protein_coding
APOBEC3G	chr22	37803082	37813693	protein_coding
APOBEC3H	chr22	37823190	37839268	protein_coding
APOBEC4	chr1	181882053	181889071	protein_coding
APOC1	chr19	50109419	50114423	protein_coding
APOC2	chr19	50137335	50144660	protein_coding
APOC3	chr11	116205834	116208997	protein_coding
APOC4	chr19	50137335	50144660	protein_coding
APOD	chr3	196776867	196792278	protein_coding
APOE	chr19	50100879	50104489	protein_coding
APOF	chr12	55040653	55057759	protein_coding
APOH	chr17	61638610	61656018	protein_coding
APOL1	chr22	34979070	34993523	protein_coding
APOL2	chr22	34952201	34965946	protein_coding
APOL3	chr22	34866323	34962880	protein_coding
APOL4	chr22	34915123	34930825	protein_coding
APOL5	chr22	34443865	34455476	protein_coding
APOL6	chr22	34374370	34394401	retrotransposed
APOLD1	chr12	12770130	12831853	protein_coding
APOM	chr6	31728200	31733965	protein_coding
APP	chr21	26174733	26465003	protein_coding
APPBP1	chr16	65394279	65422380	protein_coding
APPBP2	chr17	55875302	55958362	protein_coding
APPL	chr3	57236805	57282539	protein_coding
APPL2	chr12	104091205	104154138	protein_coding
APRT	chr16	87403378	87405843	protein_coding
APTX	chr9	32962609	32991626	protein_coding
AQP1	chr7	30917993	30931656	protein_coding
AQP10	chr1	152560216	152564425	protein_coding
AQP11	chr11	76978328	76998339	protein_coding
AQP12A	chr2	241279935	241286569	protein_coding
AQP12B	chr2	241264512	241270996	protein_coding
AQP2	chr12	48630796	48638926	protein_coding
AQP3	chr9	33431161	33437590	protein_coding
AQP4	chr18	22686008	22699714	protein_coding
AQP5	chr12	48641920	48645701	protein_coding
AQP6	chr12	48652887	48657189	protein_coding
AQP7	chr9	33374948	33392517	protein_coding
AQP7P1	chr9	66961803	66979151	protein_coding
AQP7P2	chr9	68923970	68941102	pseudogene
AQP7P3	chr9	42848068	42865419	protein_coding
AQP7P4	chr9	66770881	66788248	protein_coding
AQP8	chr16	25135784	25147752	protein_coding
AQP9	chr15	56217700	56265402	protein_coding
AQR	chr15	32935042	33049248	protein_coding
ARAP1	chr11	72073768	72141095	protein_coding
ARC	chr8	143689412	143692835	protein_coding
ARCN1	chr11	117948321	117978852	protein_coding
ARD1B	chr4	80457298	80466195	protein_coding
AREG	chr4	75529715	75539590	protein_coding
AREGB	chr4	75699863	75709510	protein_coding
ARF1	chr1	226336984	226353535	protein_coding
ARF1GAP	chr20	61374610	61391587	protein_coding
ARF3	chr12	47616259	47637577	protein_coding
ARF4	chr3	57532132	57558118	protein_coding
ARF4P2	chr20	60974047	60974873	processed_pseudogene
ARF5	chr7	127015695	127018989	protein_coding
ARF6	chr14	49429486	49433522	protein_coding
ARFGAP2	chr11	47142430	47154986	protein_coding
ARFGAP3	chr22	41522476	41583244	protein_coding
ARFGEF1	chr8	68272451	68418466	protein_coding
ARFGEF2	chr20	46971682	47086629	protein_coding
ARFIP1	chr4	153920562	154052514	protein_coding
ARFIP2	chr11	6453504	6459171	protein_coding
ARFRP1	chr20	61801253	61809809	protein_coding
ARG1	chr6	131936058	131947161	protein_coding
ARG2	chr14	67156332	67188190	protein_coding
ARGFX	chr3	122772251	122792159	protein_coding
ARGLU1	chr13	105992022	106018513	protein_coding
ARHGAP1	chr11	46655210	46678696	protein_coding
ARHGAP10	chr4	148872903	149213376	protein_coding
ARHGAP11A	chr15	30694983	30719150	protein_coding
ARHGAP11B	chr15	28705695	28765101	protein_coding
ARHGAP12	chr10	32135231	32257776	protein_coding
ARHGAP15	chr2	143603403	144242387	protein_coding
ARHGAP17	chr16	24838211	24934176	protein_coding
ARHGAP18	chr6	129939934	130073063	protein_coding
ARHGAP19	chr10	98968986	99042403	protein_coding
ARHGAP20	chr11	109952976	110088661	protein_coding
ARHGAP21	chr10	24912551	25052550	protein_coding
ARHGAP22	chr10	49324086	49483182	protein_coding
ARHGAP23	chr17	33876678	33920891	protein_coding
ARHGAP24	chr4	86615291	87142847	protein_coding
ARHGAP25	chr2	68815471	68907469	protein_coding
ARHGAP26	chr5	142130156	142588769	protein_coding
ARHGAP27	chr17	40827058	40858780	protein_coding
ARHGAP28	chr18	6778713	6888718	protein_coding
ARHGAP29	chr1	94407052	94475895	protein_coding
ARHGAP30	chr1	159283356	159306384	protein_coding
ARHGAP5	chr14	31616246	31698685	protein_coding
ARHGAP8	chr22	43476777	43637215	protein_coding
ARHGAP9	chr12	56152305	56168864	protein_coding
ARHGDIA	chr17	77418887	77422527	protein_coding
ARHGDIB	chr12	14986217	15005829	protein_coding
ARHGDIG	chr16	270607	273004	protein_coding
ARHGEF1	chr19	47079107	47103437	protein_coding
ARHGEF10	chr8	1759549	1894206	protein_coding
ARHGEF10L	chr1	17738917	17896956	protein_coding
ARHGEF11	chr1	155171257	155281786	protein_coding
ARHGEF12	chr11	119713156	119865855	protein_coding
ARHGEF15	chr17	8154315	8166553	protein_coding
ARHGEF16	chr1	3361100	3387535	protein_coding
ARHGEF17	chr11	72697317	72757783	protein_coding
ARHGEF18	chr19	7351866	7443370	protein_coding
ARHGEF19	chr1	16397186	16411691	protein_coding
ARHGEF2	chr1	154183270	154226488	protein_coding
ARHGEF3	chr3	56736489	57044217	protein_coding
ARHGEF4	chr2	131390694	131521306	protein_coding
ARHGEF5	chr7	143683366	143708654	protein_coding
ARHGEF7	chr13	110565783	110745543	protein_coding
ARID1A	chr1	26895109	26981188	protein_coding
ARID1B	chr6	157140756	157572093	protein_coding
ARID2	chr12	44409887	44588086	protein_coding
ARID3A	chr19	877037	923781	protein_coding
ARID3B	chr15	72620600	72677521	protein_coding
ARID3C	chr9	34611455	34618011	protein_coding
ARID4A	chr14	57834975	57910201	protein_coding
ARID4B	chr1	233396833	233558155	protein_coding
ARID5A	chr2	96566185	96582097	protein_coding
ARID5B	chr10	63331449	63526709	protein_coding
ARIH1	chr15	70553721	70662877	protein_coding
ARIH2	chr3	48931285	48997971	protein_coding
ARL1	chr12	100311054	100325703	protein_coding
ARL10	chr5	175725108	175733109	protein_coding
ARL11	chr13	49100436	49106009	protein_coding
ARL13B	chr3	95181672	95256811	protein_coding
ARL14	chr3	161877641	161878927	protein_coding
ARL15	chr5	53216371	53642160	protein_coding
ARL16	chr17	77258610	77261260	protein_coding
ARL17	chr17	41732690	41794849	protein_coding
ARL17P1	chr17	41949797	42012348	protein_coding
ARL2	chr11	64538229	64546231	protein_coding
ARL2BP	chr16	55836539	55845046	protein_coding
ARL3	chr10	104423480	104464180	protein_coding
ARL4A	chr7	12693006	12697084	protein_coding
ARL4C	chr2	235066424	235070436	protein_coding
ARL4D	chr17	38831879	38834029	protein_coding
ARL4P	chr10	62114269	62115576	protein_coding
ARL5A	chr2	152365726	152393255	protein_coding
ARL5B	chr10	18988319	19006946	protein_coding
ARL5C	chr17	34570354	34575918	protein_coding
ARL6	chr3	98966285	99000059	protein_coding
ARL6IP1	chr16	18710492	18720367	protein_coding
ARL6IP2	chr2	38375539	38457919	protein_coding
ARL6IP4	chr12	122030833	122033413	protein_coding
ARL6IP5	chr3	69216780	69237927	protein_coding
ARL6IP6	chr2	153283373	153325669	protein_coding
ARL8A	chr1	200368600	200380489	protein_coding
ARL8B	chr3	5138930	5197597	protein_coding
ARL9	chr4	57066132	57084815	protein_coding
ARMC1	chr8	66677630	66708986	protein_coding
ARMC10	chr7	102502564	102527432	protein_coding
ARMC2	chr6	109276312	109402045	protein_coding
ARMC3	chr10	23256972	23366524	protein_coding
ARMC4	chr10	28141103	28327983	protein_coding
ARMC5	chr16	31377818	31385986	protein_coding
ARMC6	chr19	19005471	19029978	protein_coding
ARMC7	chr17	70617677	70637955	protein_coding
ARMC8	chr3	139411348	139498909	protein_coding
ARMC9	chr2	231771586	231918157	protein_coding
ARMET	chr3	51397743	51401815	protein_coding
ARMETL1	chr10	14901255	14920580	protein_coding
ARNT	chr1	149048810	149115815	protein_coding
ARNT2	chr15	78483741	78677324	protein_coding
ARNTL	chr11	13255901	13365384	protein_coding
ARNTL2	chr12	27377255	27464733	protein_coding
ARPC1A	chr7	98761446	98801821	protein_coding
ARPC1B	chr7	98810265	98830338	protein_coding
ARPC2	chr2	218790119	218827315	protein_coding
ARPC3	chr12	109357090	109376185	protein_coding
ARPC5	chr1	181859024	181871440	protein_coding
ARPC5L	chr9	126664230	126679824	protein_coding
ARPP-21	chr3	35658853	35810992	protein_coding
ARRB1	chr11	74654130	74740521	protein_coding
ARRB2	chr17	4560533	4571544	protein_coding
ARRDC1	chr9	139619917	139629630	protein_coding
ARRDC2	chr19	17972944	17985903	protein_coding
ARRDC3	chr5	90700299	90714877	protein_coding
ARRDC4	chr15	96304947	96318062	protein_coding
ARRDC5	chr19	4841449	4853879	protein_coding
ARSA	chr22	49410316	49413473	protein_coding
ARSB	chr5	78108795	78318113	protein_coding
ARSG	chr17	63814772	63930467	protein_coding
ARSI	chr5	149656102	149662641	protein_coding
ARSJ	chr4	115040889	115120327	protein_coding
ARSK	chr5	94916581	94966562	protein_coding
ART1	chr11	3622937	3642222	protein_coding
ART3	chr4	77214887	77252964	protein_coding
ART4	chr12	14873290	14887689	protein_coding
ART5	chr11	3616312	3620122	protein_coding
ARTN	chr1	44171579	44175471	protein_coding
ARTS-1	chr5	96122270	96169648	protein_coding
ARV1	chr1	229181446	229203094	protein_coding
ARVCF	chr22	18337421	18384309	protein_coding
AS3MT	chr10	104619200	104651641	protein_coding
ASAH1	chr8	17958214	17986787	protein_coding
ASAH2	chr10	51617078	51678376	protein_coding
ASAH2B	chr10	52169084	52186954	protein_coding
ASAH3	chr19	6257627	6284640	protein_coding
ASAH3L	chr9	19398925	19442500	protein_coding
ASAP1	chr8	131133535	131483399	protein_coding
ASB1	chr2	239000365	239025630	protein_coding
ASB10	chr7	150503722	150515742	protein_coding
ASB13	chr10	5714923	5748532	protein_coding
ASB14	chr3	57277419	57301165	protein_coding
ASB15	chr7	123036348	123065168	protein_coding
ASB16	chr17	39603600	39611977	protein_coding
ASB17	chr1	76157148	76170688	protein_coding
ASB18	chr2	236768254	236837727	protein_coding
ASB2	chr14	93470266	93493520	protein_coding
ASB3	chr2	53613314	53846190	protein_coding
ASB4	chr7	94953149	95005007	protein_coding
ASB5	chr4	177371825	177427367	protein_coding
ASB6	chr9	131436704	131444265	protein_coding
ASB7	chr15	98960358	99007174	protein_coding
ASB8	chr12	46827841	46837644	protein_coding
ASCC1	chr10	73526285	73646052	protein_coding
ASCC2	chr22	28514603	28564254	protein_coding
ASCC3	chr6	101062791	101435961	protein_coding
ASCC3L1	chr2	96303804	96334988	protein_coding
ASCL1	chr12	101875594	101878417	protein_coding
ASCL2	chr11	2246305	2248758	protein_coding
ASCL3	chr11	8915695	8921156	protein_coding
ASCL4	chr12	106692292	106694525	protein_coding
ASF1A	chr6	119256901	119272105	protein_coding
ASF1B	chr19	14091322	14108440	protein_coding
ASGR1	chr17	7017474	7023386	protein_coding
ASGR2	chr17	6945365	6958852	protein_coding
ASH1L	chr1	153571677	153798948	protein_coding
ASH2L	chr8	38082223	38116351	protein_coding
ASH2LP1	chr22	21104663	21105647	processed_pseudogene
ASIP	chr20	32311832	32320809	protein_coding
ASL	chr7	65178207	65195756	protein_coding
ASNA1	chr19	12709306	12720137	protein_coding
ASNS	chr7	97319379	97339732	protein_coding
ASNSD1	chr2	190234391	190243800	protein_coding
ASPA	chr17	3326046	3349449	protein_coding
ASPH	chr8	62578374	62789560	protein_coding
ASPHD1	chr16	29819648	29824876	protein_coding
ASPHD2	chr22	25155239	25169557	protein_coding
ASPM	chr1	195319997	195382287	protein_coding
ASPN	chr9	94258308	94284609	protein_coding
ASPRV1	chr2	70040725	70042901	protein_coding
ASPSCR1	chr17	77528715	77568569	protein_coding
ASRGL1	chr11	61861350	61917454	protein_coding
ASS1	chr9	132309915	132366481	protein_coding
ASTE1	chr3	132215411	132228336	protein_coding
ASTL	chr2	96153316	96167902	protein_coding
ASTN1	chr1	175093370	175400647	protein_coding
ASTN2	chr9	118227328	119217138	protein_coding
ASXL1	chr20	30409814	30490782	protein_coding
ASXL2	chr2	25814065	25954839	protein_coding
ASXL3	chr18	29412539	29581375	protein_coding
ASZ1	chr7	116790512	116854779	protein_coding
ATAD2	chr8	124401922	124477868	protein_coding
ATAD2B	chr2	23825038	24003488	protein_coding
ATAD3A	chr1	1437394	1459928	protein_coding
ATAD3B	chr1	1397006	1421444	protein_coding
ATAD4	chr17	43384335	43390109	protein_coding
ATAD5	chr17	26183146	26246421	protein_coding
ATBF1	chr16	71374285	71639775	protein_coding
ATCAY	chr19	3831639	3873184	protein_coding
ATCD1	chr17	4706239	4706856	processed_pseudogene
ATE1	chr10	123492616	123677936	protein_coding
ATF1	chr12	49444086	49501174	protein_coding
ATF2	chr2	175645224	175741180	protein_coding
ATF3	chr1	210805320	210860737	protein_coding
ATF4	chr22	38245646	38248634	protein_coding
ATF5	chr19	55124272	55129003	protein_coding
ATF6	chr1	160002708	160195476	protein_coding
ATF7	chr12	52196111	52306405	protein_coding
ATF7IP	chr12	14409883	14542964	protein_coding
ATF7IP2	chr16	10387413	10484996	protein_coding
ATG10	chr5	81303630	81586524	protein_coding
ATG12	chr5	115193714	115205398	protein_coding
ATG16L1	chr2	233825057	233869051	protein_coding
ATG16L2	chr11	72203099	72218326	protein_coding
ATG2A	chr11	64418595	64441298	protein_coding
ATG3	chr3	113734050	113763453	protein_coding
ATG4B	chr2	242225301	242261942	protein_coding
ATG4C	chr1	63022394	63103772	protein_coding
ATG4D	chr19	10515593	10525093	protein_coding
ATG5	chr6	106739059	106880388	protein_coding
ATG7	chr3	11289083	11571556	protein_coding
ATG9A	chr2	219792349	219802609	protein_coding
ATG9B	chr7	150340268	150352519	protein_coding
ATHL1	chr11	279138	285688	protein_coding
ATIC	chr2	215885076	215922731	protein_coding
ATL3	chr11	63153013	63195659	protein_coding
ATM	chr11	107598769	107745036	protein_coding
ATMIN	chr16	79626959	79638452	protein_coding
ATN1	chr12	6903887	6921743	protein_coding
ATOH1	chr4	94969065	94970244	protein_coding
ATOH7	chr10	69660387	69661866	protein_coding
ATOH8	chr2	85834528	85868696	protein_coding
ATOX1	chr5	151102577	151118405	protein_coding
ATP10A	chr15	23474952	23659442	protein_coding
ATP10B	chr5	159922707	160211797	protein_coding
ATP10D	chr4	47182167	47290260	protein_coding
ATP11A	chr13	112392644	112589483	protein_coding
ATP11B	chr3	183993985	184122113	protein_coding
ATP12A	chr13	24152695	24183918	protein_coding
ATP13A1	chr19	19617012	19635479	protein_coding
ATP13A2	chr1	17185040	17210868	protein_coding
ATP13A3	chr3	195604698	195670257	protein_coding
ATP13A4	chr3	194602563	194755390	protein_coding
ATP13A5	chr3	194475525	194579208	protein_coding
ATP1A1	chr1	116717405	116748917	protein_coding
ATP1A2	chr1	158349930	158379996	protein_coding
ATP1A3	chr19	47162578	47190222	protein_coding
ATP1A4	chr1	158387976	158423390	protein_coding
ATP1B1	chr1	167341559	167368584	protein_coding
ATP1B2	chr17	7494979	7501812	protein_coding
ATP1B3	chr3	143078160	143128072	protein_coding
ATP2A1	chr16	28797304	28823331	protein_coding
ATP2A2	chr12	109203815	109272493	protein_coding
ATP2A3	chr17	3769618	3814485	protein_coding
ATP2B1	chr12	88505959	88573975	protein_coding
ATP2B2	chr3	10340707	10724716	protein_coding
ATP2B4	chr1	201862312	201984201	protein_coding
ATP2C1	chr3	132096124	132218243	protein_coding
ATP2C2	chr16	82959634	83055293	protein_coding
ATP4A	chr19	40732936	40746400	protein_coding
ATP4B	chr13	113351125	113360502	protein_coding
ATP5A1	chr18	41918108	41938197	protein_coding
ATP5B	chr12	55318230	55326119	protein_coding
ATP5C1	chr10	7870099	7889761	protein_coding
ATP5D	chr19	1192749	1195823	protein_coding
ATP5E	chr20	57034423	57040742	protein_coding
ATP5EP2	chr13	27417394	27417713	protein_coding
ATP5F1	chr1	111793266	111806044	protein_coding
ATP5G1	chr17	44325147	44328229	protein_coding
ATP5G2	chr12	52345212	52356779	protein_coding
ATP5G3	chr2	175749237	175754736	protein_coding
ATP5GP1	chr6	7276518	7276908	pseudogene
ATP5H	chr17	70546550	70554669	protein_coding
ATP5I	chr4	656228	658122	protein_coding
ATP5J	chr21	26010686	26029209	protein_coding
ATP5J2	chr7	98893721	98901744	protein_coding
ATP5J2LP	chr21	36683046	36683280	processed_pseudogene
ATP5J2P3	chr9	78845152	78845409	processed_pseudogene
ATP5L	chr11	117777314	117785769	protein_coding
ATP5O	chr21	34197628	34210028	protein_coding
ATP5S	chr14	49855702	49872026	protein_coding
ATP5SL	chr19	46629064	46637650	protein_coding
ATP6V0A1	chr17	37864388	37928122	protein_coding
ATP6V0A2	chr12	122762818	122810394	protein_coding
ATP6V0A4	chr7	138041580	138133481	protein_coding
ATP6V0B	chr1	44213189	44216558	protein_coding
ATP6V0C	chr16	2503954	2510219	protein_coding
ATP6V0D1	chr16	66029418	66072590	protein_coding
ATP6V0D2	chr8	87180249	87235573	protein_coding
ATP6V0E	chr5	172343369	172394506	protein_coding
ATP6V1A	chr3	114948598	115013591	protein_coding
ATP6V1B1	chr2	71016506	71046068	protein_coding
ATP6V1B2	chr8	20098984	20123485	protein_coding
ATP6V1C1	chr8	104102424	104154461	protein_coding
ATP6V1C2	chr2	10779226	10842679	protein_coding
ATP6V1D	chr14	66874343	66896344	protein_coding
ATP6V1E1	chr22	16454902	16491588	protein_coding
ATP6V1E2	chr2	46592510	46623200	protein_coding
ATP6V1F	chr7	128290134	128293138	protein_coding
ATP6V1G1	chr9	116389815	116400962	protein_coding
ATP6V1G2	chr6	31620218	31622606	protein_coding
ATP6V1G3	chr1	196758979	196776698	protein_coding
ATP6V1H	chr8	54790669	54918403	protein_coding
ATP7B	chr13	51404811	51483631	protein_coding
ATP8A1	chr4	42105147	42353879	protein_coding
ATP8A2	chr13	24844209	25493420	protein_coding
ATP8B1	chr18	53464656	53550037	protein_coding
ATP8B2	chr1	152566900	152590403	protein_coding
ATP8B3	chr19	1733076	1763270	protein_coding
ATP8B4	chr15	47937727	48198711	protein_coding
ATP9A	chr20	49646460	49818274	protein_coding
ATP9B	chr18	74930385	75239266	protein_coding
ATPAF1	chr1	46871000	46906686	protein_coding
ATPAF2	chr17	17862059	17883205	protein_coding
ATPBD3	chr19	56293588	56299659	protein_coding
ATPBD4	chr15	33450375	33625656	protein_coding
ATPGD1	chr11	66939721	66949652	protein_coding
ATPIF1	chr1	28435198	28437196	protein_coding
ATQL4	chr10	64170974	64171151	processed_pseudogene
ATR	chr3	143650770	143780358	protein_coding
ATRN	chr20	3399676	3579760	protein_coding
ATRNL1	chr10	116843114	117698486	protein_coding
ATXN1	chr6	16407322	16869666	protein_coding
ATXN10	chr22	44446351	44619493	protein_coding
ATXN2	chr12	110374455	110521863	protein_coding
ATXN2L	chr16	28741915	28756057	protein_coding
ATXN3	chr14	91598883	91642707	protein_coding
ATXN7	chr3	63825273	63961367	protein_coding
ATXN7L1	chr7	105032750	105310263	protein_coding
ATXN7L2	chr1	109828084	109836879	protein_coding
ATXN7L3	chr17	39624700	39631055	protein_coding
AUH	chr9	93015926	93163996	protein_coding
AUP1	chr2	74607284	74610482	protein_coding
AURKA	chr20	54377853	54400800	protein_coding
AURKAIP1	chr1	1298973	1300443	protein_coding
AURKB	chr17	8048782	8054625	protein_coding
AURKC	chr19	62434240	62438727	protein_coding
AUTS2	chr7	68702576	69895776	protein_coding
AVEN	chr15	31945721	32118595	protein_coding
AVIL	chr12	56477704	56496119	protein_coding
AVL9	chr7	32501847	33045041	protein_coding
AVP	chr20	3011188	3013370	protein_coding
AVPI1	chr10	99427173	99437009	protein_coding
AVPR1A	chr12	61826483	61832857	protein_coding
AVPR1B	chr1	204390567	204398262	protein_coding
AXIN1	chr16	277441	342465	protein_coding
AXIN2	chr17	60955143	60988227	protein_coding
AXL	chr19	46416948	46459510	protein_coding
AXUD1	chr3	39158351	39170105	protein_coding
AYTL1	chr16	54100455	54174650	protein_coding
AYTL2	chr5	1514544	1577076	protein_coding
AZGP1	chr7	99402290	99411623	protein_coding
AZI1	chr17	76777988	76811346	protein_coding
AZI2	chr3	28339090	28365579	protein_coding
AZIN1	chr8	103907712	103945573	protein_coding
AZU1	chr19	776097	783017	protein_coding
B2M	chr15	42790977	42813611	protein_coding
B3GALNT1	chr3	162284365	162305854	protein_coding
B3GALNT2	chr1	233679890	233734404	protein_coding
B3GALT1	chr2	168383428	168435612	protein_coding
B3GALT2	chr1	191414825	191422365	protein_coding
B3GALT4	chr6	33352895	33354580	protein_coding
B3GALT5	chr21	39850239	39956685	protein_coding
B3GALT6	chr1	1157492	1160284	protein_coding
B3GALTL	chr13	30672112	30804409	protein_coding
B3GAT1	chr11	133753610	133787022	protein_coding
B3GAT2	chr6	71623637	71723462	protein_coding
B3GAT3	chr11	62139345	62146024	protein_coding
B3GNT1	chr2	62276766	62305368	protein_coding
B3GNT3	chr19	17766919	17785385	protein_coding
B3GNT4	chr12	121254043	121258037	protein_coding
B3GNT5	chr3	184453726	184473872	protein_coding
B3GNT6	chr11	76423083	76430651	protein_coding
B3GNT7	chr2	231953837	231974117	protein_coding
B3GNT8	chr19	46623105	46626475	protein_coding
B3GNTL1	chr17	78494961	78602975	protein_coding
B4GALNT1	chr12	56305818	56313252	protein_coding
B4GALNT2	chr17	44565154	44602235	protein_coding
B4GALNT3	chr12	439804	541319	protein_coding
B4GALNT4	chr11	359804	372116	protein_coding
B4GALT1	chr9	33100642	33157236	protein_coding
B4GALT2	chr1	44217453	44229426	protein_coding
B4GALT3	chr1	159407725	159413938	protein_coding
B4GALT4	chr3	120413286	120442442	protein_coding
B4GALT5	chr20	47682889	47763745	protein_coding
B4GALT6	chr18	27457131	27518684	protein_coding
B4GALT7	chr5	176959778	176969929	protein_coding
B9D1	chr17	19187077	19206639	protein_coding
B9D2	chr19	46552167	46561877	protein_coding
BAALC	chr8	104222097	104311706	protein_coding
BAAT	chr9	103162890	103173578	protein_coding
BACE1	chr11	116661627	116692182	protein_coding
BACE2	chr21	41461598	41570378	protein_coding
BACH1	chr21	29599431	29656088	protein_coding
BACH2	chr6	90692969	91063182	protein_coding
BAD	chr11	63793878	63808740	protein_coding
BAG1	chr9	33244163	33254648	protein_coding
BAG2	chr6	57145083	57157692	protein_coding
BAG3	chr10	121400872	121427317	protein_coding
BAG4	chr8	38153469	38189966	protein_coding
BAG5	chr14	103092642	103098904	protein_coding
BAGE2	chr21	10042713	10120568	protein_coding
BAHD1	chr15	38520703	38547718	protein_coding
BAI1	chr8	143542379	143623348	protein_coding
BAI2	chr1	31965305	32002528	protein_coding
BAI3	chr6	69401980	70156124	protein_coding
BAIAP2	chr17	76623557	76705827	protein_coding
BAIAP2L1	chr7	97760007	97868316	protein_coding
BAIAP2L2	chr22	36810843	36836622	protein_coding
BAIAP3	chr16	1323655	1339441	protein_coding
BAK1	chr6	33648302	33656048	protein_coding
BAMBI	chr10	29006430	29011874	protein_coding
BANF1	chr11	65526126	65528192	protein_coding
BANK1	chr4	102930787	103214990	protein_coding
BANP	chr16	86542539	86668422	protein_coding
BAP1	chr3	52410069	52419058	protein_coding
BAPX1	chr4	13151552	13155212	protein_coding
BARD1	chr2	215301522	215382673	protein_coding
BARHL1	chr9	134447814	134455461	protein_coding
BARHL2	chr1	90950167	90955382	protein_coding
BARX1	chr9	95753734	95757474	protein_coding
BARX2	chr11	128751091	128827384	protein_coding
BASP1	chr5	17270750	17329935	protein_coding
BAT1	chr6	31605975	31622338	protein_coding
BAT1P1	chr6	29982299	29982665	unprocessed_pseudogene
BAT1P2	chr6	30068965	30069361	unprocessed_pseudogene
BAT2	chr6	31696429	31713516	protein_coding
BAT2D1	chr1	169721290	169829272	protein_coding
BAT2L	chr9	133259301	133365405	protein_coding
BAT3	chr6	31714784	31728461	protein_coding
BAT4	chr6	31736985	31742039	protein_coding
BAT5	chr6	31762711	31779172	protein_coding
BATF	chr14	75058537	75083086	protein_coding
BATF2	chr11	64511992	64521093	protein_coding
BAX	chr19	54149929	54156864	protein_coding
BAZ1A	chr14	34291694	34414604	protein_coding
BAZ1B	chr7	72492676	72574544	protein_coding
BAZ2A	chr12	55275647	55316430	protein_coding
BAZ2B	chr2	159883736	160181326	protein_coding
BBC3	chr19	52415924	52427699	protein_coding
BBOX1	chr11	27019085	27105930	protein_coding
BBS1	chr11	66034695	66057660	protein_coding
BBS10	chr12	75262397	75266353	protein_coding
BBS12	chr4	123873307	123885547	protein_coding
BBS2	chr16	55075801	55111696	protein_coding
BBS4	chr15	70765601	70817869	protein_coding
BBS5	chr2	170044239	170071410	protein_coding
BBS7	chr4	122965089	123011092	protein_coding
BBS9	chr7	33135677	33612205	protein_coding
BBX	chr3	108724498	109007879	protein_coding
BCAM	chr19	50004178	50016517	protein_coding
BCAN	chr1	154878357	154895939	protein_coding
BCAP29	chr7	107007946	107058401	protein_coding
BCAR1	chr16	73820429	73859452	protein_coding
BCAR3	chr1	93799936	94085294	protein_coding
BCAS1	chr20	51991404	52120490	protein_coding
BCAS2	chr1	114911708	114925788	protein_coding
BCAS3	chr17	56111601	56824268	protein_coding
BCAS4	chr20	48844874	48927120	protein_coding
BCAT1	chr12	24855545	24993499	protein_coding
BCAT2	chr19	53990134	54006113	protein_coding
BCCIP	chr10	127502105	127532080	protein_coding
BCDIN3D	chr12	48517827	48523142	protein_coding
BCHE	chr3	166973387	167037947	protein_coding
BCKDHA	chr19	46595572	46629090	protein_coding
BCKDHB	chr6	80873083	81112706	protein_coding
BCKDK	chr16	31024929	31031389	protein_coding
BCL10	chr1	85504052	85516171	protein_coding
BCL11A	chr2	60531806	60634206	protein_coding
BCL11B	chr14	98705377	98807575	protein_coding
BCL2	chr18	58941559	59138341	protein_coding
BCL2A1	chr15	78040290	78050698	protein_coding
BCL2L1	chr20	29715916	29774324	protein_coding
BCL2L10	chr15	50189114	50192264	protein_coding
BCL2L11	chr2	111594962	111642493	protein_coding
BCL2L12	chr19	54860211	54868984	protein_coding
BCL2L13	chr22	16501485	16591991	protein_coding
BCL2L14	chr12	12123500	12255214	protein_coding
BCL2L2	chr14	22845852	22850806	protein_coding
BCL3	chr19	49943644	49955141	protein_coding
BCL6	chr3	188921859	188946169	protein_coding
BCL6B	chr17	6867093	6873685	protein_coding
BCL7A	chr12	120944244	120984333	protein_coding
BCL7B	chr7	72588622	72609960	protein_coding
BCL7C	chr16	30753770	30812900	protein_coding
BCL9	chr1	145479806	145564641	protein_coding
BCL9L	chr11	118272059	118286823	protein_coding
BCLAF1	chr6	136621419	136652682	protein_coding
BCMO1	chr16	79829797	79882248	protein_coding
